Date,Description,Debit,Credit,Balance
01/06/2025,SALARY CREDIT INFOSYS,,88000,88000
02/06/2025,SWIGGY ORDER 112233,420,,87580
03/06/2025,UBER TRIP BANGALORE,195,,87385
04/06/2025,AMAZON PURCHASE,3499,,83886
05/06/2025,ZOMATO ORDER 445566,380,,83506
06/06/2025,NETFLIX SUBSCRIPTION,649,,82857
07/06/2025,BIGBASKET ORDER,2240,,80617
08/06/2025,HDFC BANK EMI,12000,,68617
09/06/2025,UBER TRIP BANGALORE,240,,68377
10/06/2025,SWIGGY ORDER 223344,350,,68027
11/06/2025,MAKEMYTRIP HOTEL,4200,,63827
12/06/2025,APOLLO PHARMACY,1240,,62587
13/06/2025,ZOMATO ORDER 667788,440,,62147
14/06/2025,AIRTEL RECHARGE,599,,61548
15/06/2025,FLIPKART PURCHASE,2799,,58749
16/06/2025,UBER TRIP BANGALORE,180,,58569
17/06/2025,SWIGGY ORDER 334455,290,,58279
18/06/2025,GROFERS ORDER,1980,,56299
19/06/2025,BOOKMYSHOW TICKETS,760,,55539
20/06/2025,ZERODHA INVESTMENT,8000,,47539
21/06/2025,DOMINOS PIZZA,520,,47019
22/06/2025,UBER TRIP BANGALORE,220,,46799
23/06/2025,MYNTRA SHOPPING,1899,,44900
24/06/2025,ELECTRICITY BILL BESCOM,1350,,43550
25/06/2025,SWIGGY ORDER 556677,410,,43140
26/06/2025,NPS CONTRIBUTION,2000,,41140
27/06/2025,AMAZON PURCHASE,1499,,39641
28/06/2025,ZOMATO ORDER 778899,480,,39161
29/06/2025,UBER TRIP BANGALORE,210,,38951
30/06/2025,ATM CASH WITHDRAWAL,2000,,36951
30/06/2025,INTEREST CREDIT,,480,37431
